Mol     S1      S2
F154    -13.29  -2.50
F155    -13.29  -3.05
F156    -13.29  -3.41
F157    -13.29  -1.37
F158    -13.29  -7.16
F159    -13.29  -5.57
F160    -13.29  -5.51
F161    -13.29  -5.57
F162    -13.29  -4.97
F163    -13.29  -4.97
F164    -13.29  -3.47
F165    -13.29  -3.41
F166    -13.29  -5.44
F167    -13.29  -5.64
F168    -13.29  -4.01
F169    -13.29  -1.17
F170    -13.29  -2.83
F171    -13.29  -3.40
F172    -13.29  -3.44
F173    -13.29  -2.14
F174    -13.29  -6.38
F175    -13.29  -1.58
F176    -13.29  -4.16
F177    -13.29  1.42
F178    -13.29  1.56
F179    -13.29  -7.64
F180    -13.29  -4.84
F181    -13.29  -1.50
F182    -13.29  -3.59
F183    -13.29  -3.92
F184    -13.29  1.35
F185    -13.29  -6.06
F186    -13.29  -5.32
F187    -13.29  -5.32
F188    -13.29  -4.76
F189    -13.29  -1.46
F190    -13.29  -1.46
F191    -13.29  -6.16
F192    -13.29  -7.38
F193    -13.29  -4.76
F194    -13.29  -6.06
F195    -13.29  -3.52
F196    -13.29  -2.04
F197    -13.29  -5.32
F198    -13.29  -4.41
F199    -13.29  -8.97
F200    -13.29  -5.64
F201    -13.29  -4.57
F202    -13.29  1.06
F203    -13.29  -3.88
F204    -13.29  -5.64
F205    -13.29  -1.01
F206    -13.29  -3.10
F207    -13.29  -3.01
F208    -13.29  -4.47
F209    -13.29  -2.81
F210    -13.29  -5.97
F211    -13.29  -2.16
F212    -13.29  -7.97
F213    -13.29  -1.92
F214    -13.29  -4.04
F215    -13.29  -3.56
F216    -13.29  -5.88
F217    -13.29  -7.38
F218    -13.29  -5.64
F219    -13.29  -4.04
F220    -13.29  -4.41
F221    -13.29  -5.51
F222    -13.29  -7.97
F223    -13.29  -6.27
F224    -13.29  1.19
F225    -13.29  -2.02
F226    -13.29  -3.54
F227    -13.29  -4.41
F228    -13.29  -3.54
F229    -13.29  -3.82
F230    -13.29  -4.35
F231    -13.29  -6.06
F232    -13.29  -2.69
F233    -13.29  -8.38
F234    -13.29  -6.06
F235    -13.29  -5.88
F236    -13.29  -6.64
F237    -13.29  -4.54
F238    -13.29  -4.54
F239    -13.29  -3.17
F240    -13.29  -4.11
F241    -13.29  -3.13
F242    -13.29  -5.51
F243    -13.29  -6.80
F244    -13.29  -7.64
F245    -13.29  -1.78
F246    -13.29  -2.66
F247    -13.29  -5.01
F248    -13.29  -6.16
F249    -13.29  -5.27
F250    -13.29  -3.05
F251    -13.29  -3.70
F252    -13.29  -4.97
F253    -13.29  -4.97
F254    -13.29  -8.97
F255    -13.29  -1.77
F256    -13.29  -5.38
F257    -13.29  -2.28
F258    -13.29  -3.13
F259    -13.29  -6.80
F260    -13.29  -8.97
F261    -13.29  -6.38
F262    -13.29  -7.16
F263    -13.29  -3.08
F264    -13.29  -4.88
F265    -13.29  -2.37
F266    -13.29  -2.37
F267    -13.29  -4.04
F268    -13.29  -6.06
F269    -13.29  -4.04
F270    -13.29  -2.57
F271    -13.29  -6.97
F272    -13.29  -5.57
F273    -13.29  -9.97
F274    -13.29  -9.97
F275    -13.29  -7.16
F276    -13.29  -2.30
F277    -13.29  -7.16
F278    -13.29  -7.16
F279    -13.29  -7.16
F280    -13.29  -7.16
F281    -13.29  -6.80
F282    -13.29  -4.18
F283    -13.29  -8.38
F284    -13.29  -4.06
F285    -13.29  -6.64
F286    -13.29  -5.38
F287    -13.29  -4.57
F288    -13.29  -5.27
F289    -13.29  -4.38
F290    -13.29  -9.97
F291    -13.29  -2.79
F292    -13.29  -6.51
